"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
3392.0,1,26,19.0,29.0,5.0,5.9,6.6,7.2,128,192,1.1,1.9,0.68,2.90,17,58,84,210,Average
1364.0,0,27,17.0,24.0,7.8,8.8,8.1,9.0,468,539,5.2,6.8,,,30000,40000,55000,64000,Poor
2499.0,0,27,19.0,26.0,5.8,7.0,7.6,8.2,251,371,4.0,5.0,0.80,0.92,3600,4300,6300,7900,Poor
2501.0,1,27,18.0,22.0,4.5,5.8,7.2,8.4,624,629,6.0,15.0,,,,,,,Poor
2500.0,1,27,18.0,23.2,1.2,4.7,7.5,8.9,1190,1336,16.0,32.0,,,4300,4300,6300,6300,Poor
3437.0,0,28,11.0,23.0,7.4,9.0,7.2,8.0,160,210,1.0,1.6,0.32,0.37,70,170,210,540,Poor
1362.0,0,28,9.0,22.0,7.6,9.6,7.2,7.8,370,440,1.0,2.0,0.32,0.36,140,350,350,920,Poor
2539.0,0,29,19.0,30.0,7.7,8.6,7.0,8.1,141,195,1.2,1.7,0.30,0.30,1100,2200,1400,3900,Poor
2505.0,0,29,22.5,34.0,4.0,13.1,7.8,8.7,568,763,3.2,8.5,0.35,0.72,3300,35000,4900,54000,Poor
2503.0,0,29,22.5,34.0,4.5,10.9,7.5,8.6,567,868,3.2,6.9,0.30,0.80,1400,92000,3300,160000,Poor
4729.0,0,29,6.0,24.0,5.5,7.8,6.9,7.9,20,97,1.0,1.8,0.30,0.30,60,5000,110,13000,Poor
2519.0,0,29,21.0,30.0,6.8,8.2,6.7,7.6,32,68,1.0,2.2,0.30,0.30,400,5000,1300,13000,Poor
4720.0,0,29,19.0,33.0,6.8,8.9,6.7,8.4,32,128,1.4,2.1,0.30,0.30,170,2600,700,9000,Poor
2504.0,0,29,22.5,34.0,3.8,12.0,7.6,8.7,569,775,3.6,7.2,0.30,0.90,13000,240000,23000,540000,Poor
2520.0,0,29,4.0,24.0,5.8,6.9,6.5,8.0,67,196,1.8,2.8,0.30,0.32,2100,5000,5000,14000,Poor
1765.0,0,29,22.0,31.0,5.2,9.7,7.2,8.5,252,826,1.8,4.1,0.30,1.90,330,790,1100,1700,Poor
2544.0,0,29,22.0,32.0,8.8,9.8,7.0,7.6,311,422,2.7,7.3,0.30,0.80,3100,9400,4300,12000,Poor
2522.0,0,29,7.0,16.0,7.1,8.1,6.9,7.6,13,29,1.0,1.1,0.30,0.30,70,110,110,210,Poor
2521.0,0,29,9.0,24.0,7.2,8.2,6.9,7.6,20,36,1.0,1.8,0.30,0.30,60,130,110,330,Poor
4725.0,0,29,8.0,18.0,7.1,8.5,6.9,7.9,16,73,1.0,1.6,0.30,0.30,70,110,110,330,Poor
