"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
4045.0,0,10,7.1,26.4,1.4,5.6,7.2,7.4,274,552,2.4,5.3,,,,,,,Poor
4043.0,0,10,7.3,24.0,3.5,7.2,7.3,7.8,217,2889,1.2,2.8,,,,,,,Poor
4046.0,0,10,8.9,25.8,0.7,2.6,7.1,7.4,274,676,3.5,7.6,,,,,,,Poor
4040.0,0,10,13.0,25.8,4.3,9.0,7.3,8.1,179,217,2.0,4.4,,,,,,,Poor
4042.0,0,10,14.0,28.2,0.5,4.5,7.1,7.7,264,350,5.4,13.6,,,,,,,Poor
4041.0,0,10,13.5,28.0,0.7,5.0,7.1,7.7,273,310,4.4,10.5,,,,,,,Poor
3254.0,0,10,11.2,25.5,3.4,7.5,7.2,7.9,166,2110,2.1,2.9,,,,,,,Poor
3252.0,0,10,11.3,28.0,3.3,7.5,7.0,8.3,161,206,2.0,3.7,,,,,,,Poor
3251.0,0,10,11.7,27.3,4.7,7.6,7.1,7.9,170,200,2.7,3.3,,,,,,,Poor
3259.0,0,10,14.0,27.8,4.0,9.0,7.5,8.2,161,430,2.3,6.4,,,,,,,Poor
3256.0,0,10,13.0,26.4,6.0,9.5,7.5,8.1,101,237,1.3,3.4,,,,,,,Poor
3257.0,0,10,13.5,27.4,2.8,8.3,7.4,8.5,183,420,1.0,8.5,0.02,0.02,,,,,Poor
3258.0,0,10,13.8,28.0,4.5,9.8,7.5,8.3,206,311,2.2,5.6,,,,,,,Poor
3262.0,0,10,13.5,27.0,5.8,9.2,7.7,8.5,202,227,2.0,4.0,,,,,,,Poor
3261.0,0,10,13.0,27.6,6.4,9.8,7.9,8.2,160,195,2.0,3.8,,,,,,,Poor
3260.0,0,10,13.8,26.1,6.4,9.8,7.4,8.5,142,268,1.5,2.9,,,,,,,Poor
1309.0,0,10,11.7,28.0,5.7,9.3,7.4,7.8,165,202,2.3,4.6,,,,,,,Poor
